Sport,Event,Gender,Medal_Date,disc_html,evt_html,Entries,NOCs,Gold,G_NOC,Silver,S_NOC,Bronze,B_NOC,Bronze2,B2_NOC,Gold2,G2_NOC
Judo,Middleweight Judo,Men,7/28/21,judo,men-90-kg,33,33,BEKAURI Lasha,GEO,TRIPPEL Eduard,GER,BOBONOV Davlat,UZB,TOTH Krisztian,HUN,nan,nan
Judo,Mixed Team Judo,Mixed,7/31/21,judo,mixed-team,81,12,France,FRA,Japan,JPN,Germany,GER,Israel,ISR,nan,nan
Judo,Heavyweight Judo,Women,7/30/21,judo,women--plus-78-kg,27,27,SONE Akira,JPN,ORTIZ Idalys,CUB,KINDZERSKA Iryna,AZE,DICKO Romane,FRA,nan,nan
Judo,Extra-Lightweight Judo,Women,7/24/21,judo,women-48-kg,28,28,KRASNIQI Distria,KOS,TONAKI Funa,JPN,BILODID Daria,UKR,MUNKHBAT Urantsetseg,MGL,nan,nan
Judo,Half-Lightweight Judo,Women,7/25/21,judo,women-52-kg,29,29,ABE Uta,JPN,BUCHARD Amandine,FRA,GIUFFRIDA Odette,ITA,GILES Chelsie,GBR,nan,nan
Judo,Lightweight Judo,Women,7/26/21,judo,women-57-kg,25,25,GJAKOVA Nora,KOS,LCYSIQUE Sarah Leonie,FRA,YOSHIDA Tsukasa,JPN,KLIMKAIT Jessica,CAN,nan,nan
Judo,Half-Middleweight Judo,Women,7/27/21,judo,women-63-kg,30,30,AGBEGNENOU Clarisse,FRA,TRSTENJAK Tina,SLO,CENTRACCHIO Maria,ITA,atherine,CAN,nan,nan
Judo,Middleweight Judo,Women,7/28/21,judo,women-70-kg,28,28,ARAI Chizuru,JPN,POLLERES Michaela,AUT,TAIMAZOVA Madina,ROC,IJKE Svan DIJKE Sanne,NED,nan,nan
Judo,Half-Heavyweight Judo,Women,7/29/21,judo,women-78-kg,24,24,HAMADA Shori,JPN,MALONGA Madeleine,FRA,MWAGNER Anna-Maria,GER,AGUIAR Mayra,BRA,nan,nan
Karate,Kata,Men,8/6/21,karate,men-s-kata,11,11,KIYUNA Ryo,JPN,QUINTERO Damian,ESP,SOFUOGLU Ali,TUR,UTIERREZ ATORRES GUTIERREZ Ariel,USA,nan,nan
Karate,Kumite >75 kg,Men,8/7/21,karate,men-s-kumite--plus-75kg,9,9,GANJZADEH Sajad,IRI,HAMEDI Tareg,KSA,AKTAS Ugur,TUR,ARAGA Ryutaro,JPN,nan,nan
Karate,Kumite <67 kg,Men,8/5/21,karate,men-s-kumite-67kg,11,11,OSTA Sda COSTA Steven,FRA,SAMDAN Eray,TUR,ASSADILOV Darkhan,KAZ,RALMASATFA Abdel Rahman,JOR,nan,nan
Karate,Kumite <75 kg,Men,8/6/21,karate,men-s-kumite-75kg,10,10,BUSA Luigi,ITA,AGHAYEV Rafael,AZE,HORUNA Stanislav,UKR,GHARSPATAKI Karoly Gabor,HUN,nan,nan
Karate,Kata,Women,8/6/21,karate,women-s-kata,10,10,AIME SSANCHEZ JAIME Sandra,ESP,SHIMIZU Kiyou,JPN,SGLAU Mo Sheung Grace,HKG,BOTTARO Viviana,ITA,nan,nan
Karate,Kumite >61 kg,Women,8/7/21,karate,women-s-kumite--plus-61kg,10,10,ABDELAZIZ Feryal,EGY,ZARETSKA Iryna,AZE,BERULTSEVA Sofya,KAZ,GONG Li,CHN,nan,nan
Karate,Kumite <55 kg,Women,8/5/21,karate,women-s-kumite-55kg,9,9,GORANOVA Ivet,BUL,TERLIUGA Anzhelika,UKR,PLANK Bettina,AUT,WEN Tzuyun,TPE,nan,nan
Karate,Kumite <61 kg,Women,8/6/21,karate,women-s-kumite-61kg,10,10,PREKOVIC Jovana,SRB,YIN Xiaoyan,CHN,COBAN Merve,TUR,LOTFY Giana,EGY,nan,nan
Openwater Swimming,10K Open Water Swim,Men,8/5/21,marathon-swimming,men-s-10km,26,23,WELLBROCK Florian,GER,RASOVSZKY Kristof,HUN,PALTRINIERI Gregorio,ITA,nan,nan,nan,nan
Openwater Swimming,10K Open Water Swim,Women,8/4/21,marathon-swimming,women-s-10km,25,23,MCUNHA Ana Marcela,BRA,OUWENDAAL Svan ROUWENDAAL Sharon,NED,LEE Kareena,AUS,nan,nan,nan,nan
Modern Pentathlon,Individual Pentathlon,Men,8/7/21,modern-pentathlon,men-s-individual,36,26,CHOONG Joseph,GBR,ELGENDY Ahmed,EGY,JUN Woongtae,KOR,nan,nan,nan,nan
Modern Pentathlon,Individual Pentathlon,Women,8/6/21,modern-pentathlon,women-s-individual,36,23,FRENCH Kate,GBR,ASADAUSKAITE Laura,LTU,KOVACS Sarolta,HUN,nan,nan,nan,nan
Rhythmic Gymnastics,Rhythmic Group,Women,8/8/21,rhythmic-gymnastics,group-all-around,70,14,Bulgaria,BUL,ROC,ROC,Italy,ITA,nan,nan,nan,nan
Rhythmic Gymnastics,Rhythmic Individual,Women,8/7/21,rhythmic-gymnastics,individual-all-around,26,18,ASHRAM Linoy,ISR,AVERINA Dina,ROC,HARNASKO Alina,BLR,nan,nan,nan,nan
Rowing,Lightweight Double Scull,Men,7/29/21,rowing,lightweight-men-s-double-sculls,36,18,Ireland,IRL,Germany,GER,Italy,ITA,nan,nan,nan,nan
Rowing,Double Scull,Men,7/28/21,rowing,men-s-double-sculls,26,13,France,FRA,Netherlands,NED,China,CHN,nan,nan,nan,nan
Rowing,Coxed Eight,Men,7/30/21,rowing,men-s-eight,63,7,New Zealand,NZL,Germany,GER,Great Britain,GBR,nan,nan,nan,nan
Rowing,Coxless Four,Men,7/28/21,rowing,men-s-four,41,10,Australia,AUS,Romania,ROU,Italy,ITA,nan,nan,nan,nan
Rowing,Coxless Pair,Men,7/29/21,rowing,men-s-pair,27,13,Croatia,CRO,Romania,ROU,Denmark,DEN,nan,nan,nan,nan
Rowing,Quad Scull,Men,7/27/21,rowing,men-s-quadruple-sculls,40,10,Netherlands,NED,Great Britain,GBR,Australia,AUS,nan,nan,nan,nan
Rowing,Single Scull,Men,7/30/21,rowing,men-s-single-sculls,32,32,NTOUSKOS SNTOUSKOS Stefanos,GRE,BORCH KBORCH Kjetil,NOR,MARTIN DMARTIN Damir,CRO,nan,nan,nan,nan
Rowing,Lightweight Double Scull,Women,7/29/21,rowing,lightweight-women-s-double-sculls,36,18,Italy,ITA,France,FRA,Netherlands,NED,nan,nan,nan,nan
Rowing,Double Scull,Women,7/28/21,rowing,women-s-double-sculls,26,13,Romania,ROU,New Zealand,NZL,Netherlands,NED,nan,nan,nan,nan
Rowing,Coxed Eight,Women,7/30/21,rowing,women-s-eight,63,7,Canada,CAN,New Zealand,NZL,China,CHN,nan,nan,nan,nan
Rowing,Coxless Four,Women,7/28/21,rowing,women-s-four,40,10,Australia,AUS,Netherlands,NED,Ireland,IRL,nan,nan,nan,nan
Rowing,Coxless Pair,Women,7/29/21,rowing,women-s-pair,26,13,New Zealand,NZL,ROC,ROC,Canada,CAN,nan,nan,nan,nan
Rowing,Quad Scull,Women,7/27/21,rowing,women-s-quadruple-sculls,40,10,China,CHN,Poland,POL,Australia,AUS,nan,nan,nan,nan
Rowing,Single Scull,Women,7/30/21,rowing,women-s-single-sculls,32,32,TWIGG ETWIGG Emma,NZL,PRAKATSEN HPRAKATSEN Hanna,ROC,LOBNIG MLOBNIG Magdalena,AUT,nan,nan,nan,nan
Rugby Sevens,Rugby Sevens,Men,7/28/21,rugby-sevens,men,156,12,Fiji,FIJ,New Zealand,NZL,Argentina,ARG,nan,nan,nan,nan
Rugby Sevens,Rugby Sevens,Women,7/31/21,rugby-sevens,women,153,12,New Zealand,NZL,France,FRA,Fiji,FIJ,nan,nan,nan,nan
Sailing,470 two-person Dinghy,Men,8/4/21,sailing,470-men,38,19,Australia,AUS,Sweden,SWE,Spain,ESP,nan,nan,nan,nan
Sailing,49er two-person skiff,Men,8/2/21,sailing,49er-men,38,19,Great Britain,GBR,New Zealand,NZL,Germany,GER,nan,nan,nan,nan
Sailing,Finn Heavyweight Single Dinghy,Men,8/3/21,sailing,finn-men,19,19,SCOTT Giles,GBR,BERECZ Zsombor,HUN,ENDEZ JCARDONA MENDEZ Joan,ESP,nan,nan,nan,nan
Sailing,Laser Single Dinghy,Men,8/1/21,sailing,laser-men,35,35,WEARN Matt,AUS,STIPANOVIC Tonci,CRO,TOMASGAARD Hermann,NOR,nan,nan,nan,nan
Sailing,Windsurfing Race,Men,7/31/21,sailing,rs-x-men,25,25,BADLOE Kiran,NED,GOYARD Thomas,FRA,BI Kun,CHN,nan,nan,nan,nan
Sailing,Nacra 17 Foiling Multihull,Mixed,8/3/21,sailing,nacra-17-mixed,40,20,Italy,ITA,Great Britain,GBR,Germany,GER,nan,nan,nan,nan
Sailing,470 two-person Dinghy,Women,8/4/21,sailing,470-women,42,21,Great Britain,GBR,Poland,POL,France,FRA,nan,nan,nan,nan
Sailing,49er two-person skiff,Women,8/2/21,sailing,49er-fx-women,42,21,Brazil,BRA,Germany,GER,Netherlands,NED,nan,nan,nan,nan
Sailing,Laser Radial Dinghy,Women,8/1/21,sailing,laser-radial-women,44,44,MRINDOM Anne-Marie,DEN,OLSSON Josefin,SWE,BOUWMEESTER Marit,NED,nan,nan,nan,nan
Sailing,Windsurfing Race,Women,7/31/21,sailing,rs-x-women,27,27,LU Yunxiu,CHN,PICON Charline,FRA,WILSON Emma,GBR,nan,nan,nan,nan
Shooting,Air Pistol 10M,Men,7/24/21,shooting,10m-air-pistol-men,36,29,FOROUGHI Javad,IRI,MIKEC Damir,SRB,PANG Wei,CHN,nan,nan,nan,nan
Shooting,Air Rifle 10M,Men,7/25/21,shooting,10m-air-rifle-men,47,32,SHANER William,USA,SHENG Lihao,CHN,YANG Haoran,CHN,nan,nan,nan,nan
Shooting,Rapid-Fire Pistol 25M,Men,8/2/21,shooting,25m-rapid-fire-pistol-men,27,19,QUIQUAMPOIX Jean,FRA,PUPO Leuris,CUB,LI Yuehong,CHN,nan,nan,nan,nan
Shooting,Small-Bore Rifle Three Position 50M,Men,8/2/21,shooting,50m-rifle-3-positions-men,39,27,ZHANG Changhong,CHN,KAMENSKIY Sergey,ROC,SEBIC Milenko,SRB,nan,nan,nan,nan
Shooting,Skeet Shooting,Men,7/26/21,shooting,skeet-men,30,22,HANCOCK Vincent,USA,HANSEN Jesper,DEN,ALRASHIDI Abdullah,KUW,nan,nan,nan,nan
Shooting,Trap Shooting,Men,7/29/21,shooting,trap-men,29,23,LIPTAK Jiri,CZE,KOSTELECKY David,CZE,OLLEY MJCOWARD HOLLEY Matthew John,GBR,nan,nan,nan,nan
Shooting,Team Air Pistol 10M,Mixed,7/27/21,shooting,10m-air-pistol-mixed-team,40,15,People's Republic of China 1,CHN,ROC 1,ROC,Ukraine,UKR,nan,nan,nan,nan
Shooting,Team Air Rifle 10M,Mixed,7/27/21,shooting,10m-air-rifle-mixed-team,58,20,People's Republic of China 1,CHN,United States of America 1,USA,ROC 2,ROC,nan,nan,nan,nan
Shooting,Team Trap Shooting,Mixed,7/31/21,shooting,trap-mixed-team,32,12,Spain,ESP,San Marino,SMR,United States of America 2,USA,nan,nan,nan,nan
Shooting,Air Pistol 10M,Women,7/25/21,shooting,10m-air-pistol-women,53,37,BATSARASHKINA Vitalina,ROC,KOSTADINOVA Antoaneta,BUL,JIANG Ranxin,CHN,nan,nan,nan,nan
Shooting,Air Rifle 10M,Women,7/24/21,shooting,10m-air-rifle-women,50,39,YANG Qian,CHN,GALASHINA Anastasiia,ROC,CHRISTEN Nina,SUI,nan,nan,nan,nan
Shooting,Sporting Pistol 25M,Women,7/30/21,shooting,25m-pistol-women,44,30,BATSARASHKINA Vitalina,ROC,KIM Minjung,KOR,XIAO Jiaruixuan,CHN,nan,nan,nan,nan
Shooting,Small-Bore Rifle Three Positions 50M,Women,7/31/21,shooting,50m-rifle-3-positions-women,37,29,CHRISTEN Nina,SUI,ZYKOVA Yulia,ROC,KARIMOVA Yulia,ROC,nan,nan,nan,nan
Shooting,Skeet Shooting,Women,7/26/21,shooting,skeet-women,28,22,ENGLISH Amber,USA,BACOSI Diana,ITA,WEI Meng,CHN,nan,nan,nan,nan
Shooting,Trap Shooting,Women,7/29/21,shooting,trap-women,26,19,TEFECEKOVAREHAK STEFECEKOVA Zuzana,SVK,BROWNING Kayle,USA,PERILLI Alessandra,SMR,nan,nan,nan,nan
Skateboarding,Park Skate,Men,8/5/21,skateboarding,men-s-park,20,13,PALMER Keegan,AUS,BARROS Pedro,BRA,JUNEAU Cory,USA,nan,nan,nan,nan
Skateboarding,Street Skate,Men,7/25/21,skateboarding,men-s-street,20,12,HORIGOME Yuto,JPN,HOEFLER Kelvin,BRA,EATON Jagger,USA,nan,nan,nan,nan
Skateboarding,Park Skate,Women,8/4/21,skateboarding,women-s-park,20,13,YOSOZUMI Sakura,JPN,HIRAKI Kokona,JPN,BROWN Sky,GBR,nan,nan,nan,nan
Skateboarding,Street Skate,Women,7/26/21,skateboarding,women-s-street,20,13,NISHIYA Momiji,JPN,LEAL Rayssa,BRA,NAKAYAMA Funa,JPN,nan,nan,nan,nan
Sport Climbing,Combined Climbing,Men,8/5/21,sport-climbing,men-s-combined,20,15,OPEZ AGINES LOPEZ Alberto,ESP,COLEMAN Nathaniel,USA,SCHUBERT Jakob,AUT,nan,nan,nan,nan
Sport Climbing,Combined Climbing,Women,8/6/21,sport-climbing,women-s-combined,20,15,GARNBRET Janja,SLO,NONAKA Miho,JPN,NOGUCHI Akiyo,JPN,nan,nan,nan,nan
Surfing,Surfing,Men,7/28/21,surfing,men,19,13,FERREIRA Italo,BRA,IGARASHI Kanoa,JPN,WRIGHT Owen,AUS,nan,nan,nan,nan
Surfing,Surfing,Women,7/28/21,surfing,women,20,12,MOORE Carissa,USA,BUITENDAG Bianca,RSA,TSUZUKI Amuro,JPN,nan,nan,nan,nan
Swimming,100M Backstroke,Men,7/27/21,swimming,men-s-100m-backstroke,41,30,RYLOV Evgeny,ROC,KOLESNIKOV Kliment,ROC,MURPHY Ryan,USA,nan,nan,nan,nan
Swimming,100M Breaststroke,Men,7/26/21,swimming,men-s-100m-breaststroke,49,38,PEATY Adam,GBR,KAMMINGA Arno,NED,MARTINENGHI Nicolo,ITA,nan,nan,nan,nan
Swimming,100M Butterfly,Men,7/31/21,swimming,men-s-100m-butterfly,56,45,DRESSEL Caeleb,USA,MILAK Kristof,HUN,PONTI Noe,SUI,nan,nan,nan,nan
Swimming,100M Freestyle,Men,7/29/21,swimming,men-s-100m-freestyle,70,62,DRESSEL Caeleb,USA,CHALMERS Kyle,AUS,KOLESNIKOV Kliment,ROC,nan,nan,nan,nan
Swimming,1500M Freestyle,Men,8/1/21,swimming,men-s-1500m-freestyle,28,20,FINKE Robert,USA,ROMANCHUK Mykhailo,UKR,WELLBROCK Florian,GER,nan,nan,nan,nan
Swimming,200M Backstroke,Men,7/30/21,swimming,men-s-200m-backstroke,29,23,RYLOV Evgeny,ROC,MURPHY Ryan,USA,GREENBANK Luke,GBR,nan,nan,nan,nan
Swimming,200M Breaststroke,Men,8/1/21,swimming,men-s-200m-breaststroke,40,34,STUBBLETY-COOK Izaac,AUS,KAMMINGA Arno,NED,MATTSSON Matti,FIN,nan,nan,nan,nan
Swimming,200M Butterfly,Men,7/28/21,swimming,men-s-200m-butterfly,38,30,MILAK Kristof,HUN,HONDA Tomoru,JPN,BURDISSO Federico,ITA,nan,nan,nan,nan
Swimming,200M Freestyle,Men,7/27/21,swimming,men-s-200m-freestyle,39,30,DEAN Tom,GBR,SCOTT Duncan,GBR,SCHEFFER Fernando,BRA,nan,nan,nan,nan
Swimming,200M Individual Medley,Men,7/30/21,swimming,men-s-200m-individual-medley,45,33,WANG Shun,CHN,SCOTT Duncan,GBR,DESPLANCHES Jeremy,SUI,nan,nan,nan,nan
Swimming,4x100M Freestyle,Men,7/26/21,swimming,men-s-4-x-100m-freestyle-relay,70,16,United States,USA,Italy,ITA,Australia,AUS,nan,nan,nan,nan
Swimming,4x100M Medley,Men,8/1/21,swimming,men-s-4-x-100m-medley-relay,74,16,United States,USA,Great Britain,GBR,Italy,ITA,nan,nan,nan,nan
Swimming,4x200M Freestyle,Men,7/28/21,swimming,men-s-4-x-200m-freestyle-relay,73,16,Great Britain,GBR,ROC,ROC,Australia,AUS,nan,nan,nan,nan
Swimming,400M Freestyle,Men,7/25/21,swimming,men-s-400m-freestyle,36,31,HAFNAOUI Ahmed,TUN,.McLOUGHLIN Jack,AUS,SMITH Kieran,USA,nan,nan,nan,nan
Swimming,400M Individual Medley,Men,7/25/21,swimming,men-s-400m-individual-medley,29,23,KALISZ Chase,USA,LITHERLAND Jay,USA,SMITH Brendon,AUS,nan,nan,nan,nan
Swimming,50M Freestyle,Men,8/1/21,swimming,men-s-50m-freestyle,73,66,DRESSEL Caeleb,USA,MANAUDOU Florent,FRA,FRATUS Bruno,BRA,nan,nan,nan,nan
Swimming,800M Freestyle,Men,7/29/21,swimming,men-s-800m-freestyle,33,28,FINKE Robert,USA,PALTRINIERI Gregorio,ITA,ROMANCHUK Mykhailo,UKR,nan,nan,nan,nan
Swimming,4x100M Medley Mixed,Mixed,7/31/21,swimming,mixed-4-x-100m-medley-relay,76,16,Great Britain,GBR,China,CHN,Australia,AUS,nan,nan,nan,nan
Swimming,100M Backstroke,Women,7/27/21,swimming,women-s-100m-backstroke,41,34,McKEOWN Kaylee,AUS,MASSE Kylie,CAN,SMITH Regan,USA,nan,nan,nan,nan
Swimming,100M Breaststroke,Women,7/27/21,swimming,women-s-100m-breaststroke,45,38,JACOBY Lydia,USA,SCHOENMAKER Tatjana,RSA,KING Lilly,USA,nan,nan,nan,nan
Swimming,100M Butterfly,Women,7/28/21,swimming,women-s-100m-butterfly,33,27,MACNEIL Margaret,CAN,ZHANG Yufei,CHN,McKEON Emma,AUS,nan,nan,nan,nan
Swimming,100M Freestyle,Women,7/30/21,swimming,women-s-100m-freestyle,51,42,McKEON Emma,AUS,BHAUGHEY Siobhan Bernadette,HKG,CAMPBELL Cate,AUS,nan,nan,nan,nan
Swimming,1500M Freestyle,Women,7/28/21,swimming,women-s-1500m-freestyle,33,22,LEDECKY Kathleen,USA,SULLIVAN Erica,USA,KOHLER Sarah,GER,nan,nan,nan,nan
Swimming,200M Backstroke,Women,7/31/21,swimming,women-s-200m-backstroke,27,22,McKEOWN Kaylee,AUS,MASSE Kylie,CAN,SEEBOHM Emily,AUS,nan,nan,nan,nan
Swimming,200M Breaststroke,Women,7/30/21,swimming,women-s-200m-breaststroke,31,24,SCHOENMAKER Tatjana,RSA,KING Lilly,USA,LAZOR Annie,USA,nan,nan,nan,nan
Swimming,200M Butterfly,Women,7/29/21,swimming,women-s-200m-butterfly,16,13,ZHANG Yufei,CHN,SMITH Regan,USA,FLICKINGER Hali,USA,nan,nan,nan,nan
Swimming,200M Freestyle,Women,7/31/21,swimming,women-s-200m-freestyle,29,23,TITMUS Ariarne,AUS,BHAUGHEY Siobhan Bernadette,HKG,OLEKSIAK Penny,CAN,nan,nan,nan,nan
Swimming,200M Individual Medley,Women,7/28/21,swimming,women-s-200m-individual-medley,27,20,OHASHI Yui,JPN,WALSH Alex,USA,DOUGLASS Kate,USA,nan,nan,nan,nan
Swimming,4x100M Freestyle,Women,7/25/21,swimming,women-s-4-x-100m-freestyle-relay,68,15,Australia,AUS,Canada,CAN,United States,USA,nan,nan,nan,nan
Swimming,4x100M Medley,Women,8/1/21,swimming,women-s-4-x-100m-medley-relay,79,16,Australia,AUS,United States,USA,Canada,CAN,nan,nan,nan,nan
Swimming,4x200M Freestyle,Women,7/29/21,swimming,women-s-4-x-200m-freestyle-relay,72,15,China,CHN,United States,USA,Australia,AUS,nan,nan,nan,nan
Swimming,400M Freestyle,Women,7/26/21,swimming,women-s-400m-freestyle,26,19,TITMUS Ariarne,AUS,LEDECKY Kathleen,USA,LI Bingjie,CHN,nan,nan,nan,nan
Swimming,400M Individual Medley,Women,7/25/21,swimming,women-s-400m-individual-medley,17,13,OHASHI Yui,JPN,WEYANT Emma,USA,FLICKINGER Hali,USA,nan,nan,nan,nan
Swimming,50M Freestyle,Women,8/1/21,swimming,women-s-50m-freestyle,81,73,McKEON Emma,AUS,SJOESTROEM Sarah,SWE,BLUME Pernille,DEN,nan,nan,nan,nan
Swimming,800M Freestyle,Women,7/31/21,swimming,women-s-800m-freestyle,30,22,LEDECKY Kathleen,USA,TITMUS Ariarne,AUS,QUADARELLA Simona,ITA,nan,nan,nan,nan
Ping Pong,Singles Ping Pong,Men,7/30/21,table-tennis,men-s-singles,65,43,MA Long,CHN,FAN Zhendong,CHN,OVTCHAROV Dimitrij,GER,nan,nan,nan,nan
Ping Pong,Team Ping Pong,Men,8/6/21,table-tennis,men-s-team,48,16,China,CHN,Germany,GER,Japan,JPN,nan,nan,nan,nan
Ping Pong,Doubles Ping Pong,Mixed,7/26/21,table-tennis,mixed-doubles,32,16,MIZUTANI Jun / ITO Mima,JPN,XU Xin / LIU Shiwen,CHN,LIN Yun Ju / CHENG I Ching,TPE,nan,nan,nan,nan
Ping Pong,Singles Ping Pong,Women,7/29/21,table-tennis,women-s-singles,70,44,CHEN Meng,CHN,SUN Yingsha,CHN,ITO Mima,JPN,nan,nan,nan,nan
Ping Pong,Team Ping Pong,Women,8/5/21,table-tennis,women-s-team,48,16,China,CHN,Japan,JPN,"Hong Kong, China",HKG,nan,nan,nan,nan
Taekwondo,Heavyweight Taekwondo,Men,7/27/21,taekwondo,men--plus-80kg,16,16,LARIN Vladislav,ROC,GEORGIEVSKI Dejan,MKD,ASTILLO RYALBA CASTILLO Rafael Yunier,CUB,DIN Kyo Don,KOR,nan,nan
Taekwondo,Flyweight Taekwondo,Men,7/24/21,taekwondo,men-58kg,16,16,DELL'AQUILA Vito,ITA,KJENDOUBI Mohamed Khalil,TUN,JANG Jun,KOR,ARTAMONOV Mikhail,ROC,nan,nan
Taekwondo,Featherweight Taekwondo,Men,7/25/21,taekwondo,men-68kg,17,17,RASHITOV Ulugbek,UZB,SINDEN Bradly,GBR,ZHAO Shuai,CHN,RECBER Hakan,TUR,nan,nan
Taekwondo,Welterweight Taekwondo,Men,7/26/21,taekwondo,men-80kg,16,16,KHRAMTCOV Maksim,ROC,ELSHARABATY Saleh,JOR,KANAET Toni,CRO,EISSA Seif,EGY,nan,nan
Taekwondo,Heavyweight Taekwondo,Women,7/27/21,taekwondo,women--plus-67kg,15,15,MANDIC Milica,SRB,LEE Dabin,KOR,LAURIN Althea,FRA,WALKDEN Bianca,GBR,nan,nan
Taekwondo,Flyweight Taekwondo,Women,7/24/21,taekwondo,women-49kg,17,17,WONGPATTANAKIT Panipak,THA,GLESIAS ACEREZO IGLESIAS Adriana,ESP,SEMBERG Abishag,ISR,BOGDANOVIC Tijana,SRB,nan,nan
Taekwondo,Featherweight Taekwondo,Women,7/25/21,taekwondo,women-57kg,17,17,ZOLOTIC Anastasija,USA,MININA Tatiana,ROC,LLO Chia-Ling,TPE,KILGUN Hatice Kubra,TUR,nan,nan
Taekwondo,Welterweight Taekwondo,Women,7/26/21,taekwondo,women-67kg,16,16,JELIC Matea,CRO,WILLIAMS Lauren,GBR,GBAGBI Ruth,CIV,MALAK Hedaya,EGY,nan,nan
Tennis,Doubles Tennis,Men,7/30/21,tennis,men-s-doubles,64,22,Mektic / Pavic,CRO,Cilic / Dodig,CRO,Daniell / Venus,NZL,nan,nan,nan,nan
Tennis,Singles Tennis,Men,8/1/21,tennis,men-s-singles,64,32,ZVEREV Alexander,GER,KHACHANOV Karen,ROC,USTA PCARRENO BUSTA Pablo,ESP,nan,nan,nan,nan
Tennis,Doubles Tennis,Mixed,8/1/21,tennis,mixed-doubles,32,15,Pavlyuchenkova / Rublev,ROC,Vesnina / Karatsev,ROC,Barty / Peers,AUS,nan,nan,nan,nan
Tennis,Doubles Tennis,Women,8/1/21,tennis,women-s-doubles,64,23,Krejcikova / Siniakova,CZE,Bencic / Golubic,SUI,Pigossi / Stefani,BRA,nan,nan,nan,nan
Tennis,Singles Tennis,Women,7/31/21,tennis,women-s-singles,64,32,BENCIC Belinda,SUI,VONDROUSOVA Marketa,CZE,SVITOLINA Elina,UKR,nan,nan,nan,nan
Trampoline,Individual Trampoline,Men,7/31/21,trampoline-gymnastics,men,16,12,LITVINOVICH Ivan,BLR,DONG Dong,CHN,SCHMIDT Dylan,NZL,nan,nan,nan,nan
Trampoline,Individual Trampoline,Women,7/30/21,trampoline-gymnastics,women,16,11,ZHU Xueying,CHN,LIU Lingling,CHN,PAGE Bryony,GBR,nan,nan,nan,nan
Triathlon,Olympic Triathlon,Men,7/26/21,triathlon,men-s-individual,51,29,BLUMMENFELT Kristian,NOR,YEE Alex,GBR,WILDE Hayden,NZL,nan,nan,nan,nan
Triathlon,Mixed Relay Triathlon,Mixed,7/31/21,triathlon,mixed-relay,64,16,Great Britain,GBR,United States,USA,France,FRA,nan,nan,nan,nan
Triathlon,Olympic Triathlon,Women,7/27/21,triathlon,women-s-individual,54,30,DUFFY Flora,BER,TAYLOR-BROWN Georgia,GBR,ZAFERES Katie,USA,nan,nan,nan,nan
Volleyball,Court Volleyball,Men,8/7/21,volleyball,men,143,12,France,FRA,ROC,ROC,Argentina,ARG,nan,nan,nan,nan
Volleyball,Court Volleyball,Women,8/8/21,volleyball,women,144,12,United States,USA,Brazil,BRA,Serbia,SRB,nan,nan,nan,nan
Water Polo,Water Polo,Men,8/8/21,water-polo,men,156,12,Serbia,SRB,Greece,GRE,Hungary,HUN,nan,nan,nan,nan
Water Polo,Water Polo,Women,8/7/21,water-polo,women,129,10,United States,USA,Spain,ESP,Hungary,HUN,nan,nan,nan,nan
Weightlifting,Super-Heavyweight Powerlift,Men,8/4/21,weightlifting,men-s--plus-109kg,13,13,TALAKHADZE Lasha,GEO,DAVOUDI Ali,IRI,ASAAD Man,SYR,nan,nan,nan,nan
Weightlifting,Heavyweight Powerlift,Men,8/3/21,weightlifting,men-s-109kg,14,14,DJURAEV Akbar,UZB,MARTIROSYAN Simon,ARM,PLESNIEKS Arturs,LAT,nan,nan,nan,nan
Weightlifting,Featherweight Powerlift,Men,7/25/21,weightlifting,men-s-61kg,14,14,LI Fabin,CHN,YIRAWAN Eko Yuli,INA,SON Igor,KAZ,nan,nan,nan,nan
Weightlifting,Lightweight Powerlift,Men,7/25/21,weightlifting,men-s-67kg,14,14,CHEN Lijun,CHN,OZANO LJMOSQUERA LOZANO Luis Javier,COL,ZANNI Mirko,ITA,nan,nan,nan,nan
Weightlifting,Middleweight Powerlift,Men,7/28/21,weightlifting,men-s-73kg,14,14,SHI Zhiyong,CHN,ERNIA JRMAYORA PERNIA Julio Ruben,VEN,EABDULLAH Rahmat Erwin,INA,nan,nan,nan,nan
Weightlifting,Middle-Heavyweight Powerlift,Men,7/31/21,weightlifting,men-s-81kg,15,15,LYU Xiaojun,CHN,ICHEL ZBONNAT MICHEL Zacarias,DOM,PIZZOLATO Antonino,ITA,nan,nan,nan,nan
Weightlifting,Light-Heavyweight Powerlift,Men,7/31/21,weightlifting,men-s-96kg,14,14,IEHELBAKH Fares Ibrahim E H,QAT,ANCHEZVALLENILLA SANCHEZ Keydomar Giovan.,VEN,PLIESNOI Anton,GEO,nan,nan,nan,nan
Weightlifting,Super-Heavyweight Powerlift,Women,8/2/21,weightlifting,women-s--plus-87kg,14,14,LI Wenwen,CHN,JCAMPBELL Emily Jade,GBR,EROBLES Sarah Elizabeth,USA,nan,nan,nan,nan
Weightlifting,Featherweight Powerlift,Women,7/26/21,weightlifting,women-s-49kg,14,14,HOU Zhihui,CHN,SMIRABAI Chanu Saikhom,IND,CAISAH Windy Cantika,INA,nan,nan,nan,nan
